"","value","lanina","elnino","enso"
"328",1950-11-24,1,0,"La Nina"
"329",1950-11-25,1,0,"La Nina"
"330",1950-11-26,1,0,"La Nina"
"331",1950-11-27,1,0,"La Nina"
"332",1950-11-28,1,0,"La Nina"
"333",1950-11-29,1,0,"La Nina"
"334",1950-11-30,1,0,"La Nina"
"335",1950-12-01,1,0,"La Nina"
"336",1950-12-02,1,0,"La Nina"
"337",1950-12-03,1,0,"La Nina"
"338",1950-12-04,1,0,"La Nina"
"339",1950-12-05,1,0,"La Nina"
"340",1950-12-06,1,0,"La Nina"
"341",1950-12-07,1,0,"La Nina"
"342",1950-12-08,1,0,"La Nina"
"343",1950-12-09,1,0,"La Nina"
"344",1950-12-10,1,0,"La Nina"
"345",1950-12-11,1,0,"La Nina"
"346",1950-12-12,1,0,"La Nina"
"347",1950-12-13,1,0,"La Nina"
"348",1950-12-14,1,0,"La Nina"
"349",1950-12-15,1,0,"La Nina"
"350",1950-12-16,1,0,"La Nina"
"351",1950-12-17,1,0,"La Nina"
"352",1950-12-18,1,0,"La Nina"
"353",1950-12-19,1,0,"La Nina"
"354",1950-12-20,1,0,"La Nina"
"355",1950-12-21,1,0,"La Nina"
"356",1950-12-22,1,0,"La Nina"
"357",1950-12-23,1,0,"La Nina"
"358",1950-12-24,1,0,"La Nina"
"359",1950-12-25,1,0,"La Nina"
"360",1950-12-26,1,0,"La Nina"
"361",1950-12-27,1,0,"La Nina"
"362",1950-12-28,1,0,"La Nina"
"363",1950-12-29,1,0,"La Nina"
"364",1950-12-30,1,0,"La Nina"
"365",1950-12-31,1,0,"La Nina"
"366",1951-01-01,1,0,"La Nina"
"367",1951-01-02,1,0,"La Nina"
"368",1951-01-03,1,0,"La Nina"
"369",1951-01-04,1,0,"La Nina"
"370",1951-01-05,1,0,"La Nina"
"371",1951-01-06,1,0,"La Nina"
"372",1951-01-07,1,0,"La Nina"
"373",1951-01-08,1,0,"La Nina"
"374",1951-01-09,1,0,"La Nina"
"375",1951-01-10,1,0,"La Nina"
"376",1951-01-11,1,0,"La Nina"
"377",1951-01-12,1,0,"La Nina"
"378",1951-01-13,1,0,"La Nina"
"379",1951-01-14,1,0,"La Nina"
"380",1951-01-15,1,0,"La Nina"
"381",1951-01-16,1,0,"La Nina"
"382",1951-01-17,1,0,"La Nina"
"383",1951-01-18,1,0,"La Nina"
"384",1951-01-19,1,0,"La Nina"
"385",1951-01-20,1,0,"La Nina"
"386",1951-01-21,1,0,"La Nina"
"387",1951-01-22,1,0,"La Nina"
"388",1951-01-23,1,0,"La Nina"
"389",1951-01-24,1,0,"La Nina"
"390",1951-01-25,1,0,"La Nina"
"391",1951-01-26,1,0,"La Nina"
"392",1951-01-27,1,0,"La Nina"
"393",1951-01-28,1,0,"La Nina"
"394",1951-01-29,1,0,"La Nina"
"395",1951-01-30,1,0,"La Nina"
"396",1951-01-31,1,0,"La Nina"
"397",1951-02-01,1,0,"La Nina"
"398",1951-02-02,1,0,"La Nina"
"399",1951-02-03,1,0,"La Nina"
"400",1951-02-04,1,0,"La Nina"
"401",1951-02-05,1,0,"La Nina"
"402",1951-02-06,1,0,"La Nina"
"403",1951-02-07,1,0,"La Nina"
"404",1951-02-08,1,0,"La Nina"
"405",1951-02-09,1,0,"La Nina"
"406",1951-02-10,1,0,"La Nina"
"407",1951-02-11,1,0,"La Nina"
"408",1951-02-12,1,0,"La Nina"
"409",1951-02-13,1,0,"La Nina"
"410",1951-02-14,1,0,"La Nina"
"411",1951-02-15,1,0,"La Nina"
"412",1951-02-16,1,0,"La Nina"
"413",1951-02-17,1,0,"La Nina"
"414",1951-02-18,1,0,"La Nina"
"415",1951-02-19,1,0,"La Nina"
"416",1951-02-20,1,0,"La Nina"
"417",1951-02-21,1,0,"La Nina"
"418",1951-02-22,1,0,"La Nina"
"419",1951-02-23,1,0,"La Nina"
"420",1951-02-24,1,0,"La Nina"
"421",1951-02-25,1,0,"La Nina"
"422",1951-02-26,1,0,"La Nina"
"423",1951-02-27,1,0,"La Nina"
"424",1951-02-28,1,0,"La Nina"
"425",1951-03-01,0,1,"El Nino"
"426",1951-03-02,0,1,"El Nino"
"427",1951-03-03,0,1,"El Nino"
"428",1951-03-04,0,1,"El Nino"
"429",1951-03-05,0,1,"El Nino"
"430",1951-03-06,0,1,"El Nino"
"431",1951-03-07,0,1,"El Nino"
"432",1951-03-08,0,1,"El Nino"
"433",1951-03-09,0,1,"El Nino"
"434",1951-03-10,0,1,"El Nino"
"435",1951-03-11,0,1,"El Nino"
"436",1951-03-12,0,1,"El Nino"
"437",1951-03-13,0,1,"El Nino"
"438",1951-03-14,0,1,"El Nino"
"439",1951-03-15,0,1,"El Nino"
"440",1951-03-16,0,1,"El Nino"
"441",1951-03-17,0,1,"El Nino"
"442",1951-03-18,0,1,"El Nino"
"443",1951-03-19,0,1,"El Nino"
"444",1951-03-20,0,1,"El Nino"
"445",1951-03-21,0,1,"El Nino"
"446",1951-03-22,0,1,"El Nino"
"447",1951-03-23,0,1,"El Nino"
"448",1951-03-24,0,1,"El Nino"
"449",1951-03-25,0,1,"El Nino"
"450",1951-03-26,0,1,"El Nino"
"451",1951-03-27,0,1,"El Nino"
"452",1951-03-28,0,1,"El Nino"
"453",1951-03-29,0,1,"El Nino"
"454",1951-03-30,0,1,"El Nino"
"455",1951-03-31,0,1,"El Nino"
"456",1951-04-01,0,1,"El Nino"
"457",1951-04-02,0,1,"El Nino"
"458",1951-04-03,0,1,"El Nino"
"459",1951-04-04,0,1,"El Nino"
"460",1951-04-05,0,1,"El Nino"
"461",1951-04-06,0,1,"El Nino"
"462",1951-04-07,0,1,"El Nino"
"463",1951-04-08,0,1,"El Nino"
"464",1951-04-09,0,1,"El Nino"
"465",1951-04-10,0,1,"El Nino"
"466",1951-04-11,0,1,"El Nino"
"467",1951-04-12,0,1,"El Nino"
"468",1951-04-13,0,1,"El Nino"
"469",1951-04-14,0,1,"El Nino"
"470",1951-04-15,0,1,"El Nino"
"471",1951-04-16,0,1,"El Nino"
"472",1951-04-17,0,1,"El Nino"
"473",1951-04-18,0,1,"El Nino"
"474",1951-04-19,0,1,"El Nino"
"475",1951-04-20,0,1,"El Nino"
"476",1951-04-21,0,1,"El Nino"
"477",1951-04-22,0,1,"El Nino"
"478",1951-04-23,0,1,"El Nino"
"479",1951-04-24,0,1,"El Nino"
"480",1951-04-25,0,1,"El Nino"
"481",1951-04-26,0,1,"El Nino"
"482",1951-04-27,0,1,"El Nino"
"483",1951-04-28,0,1,"El Nino"
"484",1951-04-29,0,1,"El Nino"
"485",1951-04-30,0,1,"El Nino"
"486",1951-05-01,0,1,"El Nino"
"487",1951-05-02,0,1,"El Nino"
"488",1951-05-03,0,1,"El Nino"
"489",1951-05-04,0,1,"El Nino"
"490",1951-05-05,0,1,"El Nino"
"491",1951-05-06,0,1,"El Nino"
"492",1951-05-07,0,1,"El Nino"
"493",1951-05-08,0,1,"El Nino"
"494",1951-05-09,0,1,"El Nino"
"495",1951-05-10,0,1,"El Nino"
"496",1951-05-11,0,1,"El Nino"
"497",1951-05-12,0,1,"El Nino"
"498",1951-05-13,0,1,"El Nino"
"499",1951-05-14,0,1,"El Nino"
"500",1951-05-15,0,1,"El Nino"
"501",1951-05-16,0,1,"El Nino"
"502",1951-05-17,0,1,"El Nino"
"503",1951-05-18,0,1,"El Nino"
"504",1951-05-19,0,1,"El Nino"
"505",1951-05-20,0,1,"El Nino"
"506",1951-05-21,0,1,"El Nino"
"507",1951-05-22,0,1,"El Nino"
"508",1951-05-23,0,1,"El Nino"
"509",1951-05-24,0,1,"El Nino"
"510",1951-05-25,0,1,"El Nino"
"511",1951-05-26,0,1,"El Nino"
"512",1951-05-27,0,1,"El Nino"
"513",1951-05-28,0,1,"El Nino"
"514",1951-05-29,0,1,"El Nino"
"515",1951-05-30,0,1,"El Nino"
"516",1951-05-31,0,1,"El Nino"
"517",1951-06-01,0,1,"El Nino"
"518",1951-06-02,0,1,"El Nino"
"519",1951-06-03,0,1,"El Nino"
"520",1951-06-04,0,1,"El Nino"
"521",1951-06-05,0,1,"El Nino"
"522",1951-06-06,0,1,"El Nino"
"523",1951-06-07,0,1,"El Nino"
"524",1951-06-08,0,1,"El Nino"
"525",1951-06-09,0,1,"El Nino"
"526",1951-06-10,0,1,"El Nino"
"527",1951-06-11,0,1,"El Nino"
"528",1951-06-12,0,1,"El Nino"
"529",1951-06-13,0,1,"El Nino"
"530",1951-06-14,0,1,"El Nino"
"531",1951-06-15,0,1,"El Nino"
"532",1951-06-16,0,1,"El Nino"
"533",1951-06-17,0,1,"El Nino"
"534",1951-06-18,0,1,"El Nino"
"535",1951-06-19,0,1,"El Nino"
"536",1951-06-20,0,1,"El Nino"
"537",1951-06-21,0,1,"El Nino"
"538",1951-06-22,0,1,"El Nino"
"539",1951-06-23,0,1,"El Nino"
"540",1951-06-24,0,1,"El Nino"
"541",1951-06-25,0,1,"El Nino"
"542",1951-06-26,0,1,"El Nino"
"543",1951-06-27,0,1,"El Nino"
"544",1951-06-28,0,1,"El Nino"
"545",1951-06-29,0,1,"El Nino"
"546",1951-06-30,0,1,"El Nino"
"547",1951-07-01,0,1,"El Nino"
"548",1951-07-02,0,1,"El Nino"
"549",1951-07-03,0,1,"El Nino"
"550",1951-07-04,0,1,"El Nino"
"551",1951-07-05,0,1,"El Nino"
"552",1951-07-06,0,1,"El Nino"
"553",1951-07-07,0,1,"El Nino"
"554",1951-07-08,0,1,"El Nino"
"555",1951-07-09,0,1,"El Nino"
"556",1951-07-10,0,1,"El Nino"
"557",1951-07-11,0,1,"El Nino"
"558",1951-07-12,0,1,"El Nino"
"559",1951-07-13,0,1,"El Nino"
"560",1951-07-14,0,1,"El Nino"
"561",1951-07-15,0,1,"El Nino"
"562",1951-07-16,0,1,"El Nino"
"563",1951-07-17,0,1,"El Nino"
"564",1951-07-18,0,1,"El Nino"
"565",1951-07-19,0,1,"El Nino"
